?_MCP (°),?_PIP (°),?_DIP (°)
-36.386,-34.92584659,-36.62235066
-36.387,-34.92665938,-36.62320293
-36.388,-34.9274721,-36.62405515
-36.389,-34.92828487,-36.6249074
-36.39,-34.92909757,-36.62575961
-36.391,-34.92991032,-36.62661183
-36.392,-34.930723,-36.62746402
-36.393,-34.93153573,-36.62831623
-36.394,-34.93234839,-36.62916839
-36.395,-34.9331611,-36.63002057
-36.396,-34.93397374,-36.63087272
-36.397,-34.93478643,-36.63172488
-36.398,-34.93559905,-36.632577
-36.399,-34.93641172,-36.63342915
-36.4,-34.93722432,-36.63428124
-36.401,-34.93803696,-36.63513337
-36.402,-34.93884954,-36.63598545
-36.403,-34.93966217,-36.63683755
-36.404,-34.94047473,-36.6376896
-36.405,-34.94128734,-36.63854168
-36.406,-34.94209988,-36.63939372
-36.407,-34.94291247,-36.64024578
-36.408,-34.94372499,-36.64109779
-36.409,-34.94453755,-36.64194983
-36.41,-34.94535005,-36.64280183
-36.411,-34.9461626,-36.64365384
-36.412,-34.94697508,-36.64450582
-36.413,-34.94778761,-36.64535781
-36.414,-34.94860007,-36.64620976
-36.415,-34.94941257,-36.64706174
-36.416,-34.95022501,-36.64791367
-36.417,-34.9510375,-36.64876562
-36.418,-34.95184992,-36.64961753
-36.419,-34.95266238,-36.65046946
-36.42,-34.95347478,-36.65132135
-36.421,-34.95428723,-36.65217326
-36.422,-34.95509961,-36.65302513
-36.423,-34.95591203,-36.65387702
-36.424,-34.95672439,-36.65472887
-36.425,-34.9575368,-36.65558073
-36.426,-34.95834914,-36.65643256
-36.427,-34.95916152,-36.65728441
-36.428,-34.95997384,-36.65813621
-36.429,-34.9607862,-36.65898804
-36.43,-34.9615985,-36.65983982
-36.431,-34.96241085,-36.66069163
-36.432,-34.96322313,-36.66154339
-36.433,-34.96403545,-36.66239517
-36.434,-34.96484771,-36.66324691
-36.435,-34.96566001,-36.66409867
-36.436,-34.96647225,-36.66495039
-36.437,-34.96728454,-36.66580214
-36.438,-34.96809675,-36.66665383
-36.439,-34.96890902,-36.66750555
-36.44,-34.96972122,-36.66835723
-36.441,-34.97053346,-36.66920893
-36.442,-34.97134564,-36.67006059
-36.443,-34.97215786,-36.67091227
-36.444,-34.97297002,-36.6717639
-36.445,-34.97378222,-36.67261556
-36.446,-34.97459436,-36.67346717
-36.447,-34.97540654,-36.67431881
-36.448,-34.97621866,-36.6751704
-36.449,-34.97703082,-36.67602201
-36.45,-34.97784292,-36.67687358
-36.451,-34.97865506,-36.67772518
-36.452,-34.97946714,-36.67857673
-36.453,-34.98027926,-36.6794283
-36.454,-34.98109132,-36.68027983
-36.455,-34.98190342,-36.68113138
-36.456,-34.98271546,-36.68198289
-36.457,-34.98352754,-36.68283442
-36.458,-34.98433956,-36.68368591
-36.459,-34.98515162,-36.68453742
-36.46,-34.98596362,-36.68538888
-36.461,-34.98677566,-36.68624037
-36.462,-34.98758763,-36.68709181
-36.463,-34.98839966,-36.68794328
-36.464,-34.98921161,-36.6887947
-36.465,-34.99002361,-36.68964615
-36.466,-34.99083555,-36.69049755
-36.467,-34.99164753,-36.69134898
-36.468,-34.99245945,-36.69220036
-36.469,-34.99327141,-36.69305176
-36.47,-34.9940833,-36.69390312
-36.471,-34.99489525,-36.6947545
-36.472,-34.99570712,-36.69560584
-36.473,-34.99651904,-36.6964572
-36.474,-34.9973309,-36.69730852
-36.475,-34.9981428,-36.69815986
-36.476,-34.99895463,-36.69901116
-36.477,-34.99976651,-36.69986248
-36.478,-35.00057833,-36.70071375
-36.479,-35.00139019,-36.70156505
-36.48,-35.00220198,-36.7024163
-36.481,-35.00301382,-36.70326758
-36.482,-35.0038256,-36.70411881
-36.483,-35.00463742,-36.70497007
-36.484,-35.00544917,-36.70582128
-36.485,-35.00626097,-36.70667252
-36.486,-35.00707271,-36.70752371
-36.487,-35.00788449,-36.70837492
-36.488,-35.0086962,-36.70922609
-36.489,-35.00950796,-36.71007728
-36.49,-35.01031965,-36.71092843
-36.491,-35.01113139,-36.7117796
-36.492,-35.01194307,-36.71263073
-36.493,-35.01275479,-36.71348188
-36.494,-35.01356644,-36.71433298
-36.495,-35.01437814,-36.71518411
-36.496,-35.01518977,-36.7160352
-36.497,-35.01600145,-36.7168863
-36.498,-35.01681307,-36.71773737
-36.499,-35.01762472,-36.71858845
-36.5,-35.01843632,-36.7194395
-36.501,-35.01924796,-36.72029056
-36.502,-35.02005953,-36.72114158
-36.503,-35.02087115,-36.72199263
-36.504,-35.0216827,-36.72284363
-36.505,-35.0224943,-36.72369465
-36.506,-35.02330583,-36.72454563
-36.507,-35.02411741,-36.72539663
-36.508,-35.02492892,-36.72624759
-36.509,-35.02574048,-36.72709857
-36.51,-35.02655197,-36.7279495
-36.511,-35.02736351,-36.72880046
-36.512,-35.02817498,-36.72965138
-36.513,-35.0289865,-36.73050232
-36.514,-35.02979795,-36.73135321
-36.515,-35.03060945,-36.73220413
-36.516,-35.03142088,-36.733055
-36.517,-35.03223236,-36.7339059
-36.518,-35.03304377,-36.73475675
-36.519,-35.03385522,-36.73560762
-36.52,-35.03466661,-36.73645845
-36.521,-35.03547805,-36.73730931
-36.522,-35.03628942,-36.73816012
-36.523,-35.03710084,-36.73901095
-36.524,-35.03791219,-36.73986174
-36.525,-35.03872359,-36.74071255
-36.526,-35.03953492,-36.74156332
-36.527,-35.04034629,-36.74241411
-36.528,-35.0411576,-36.74326485
-36.529,-35.04196896,-36.74411562
-36.53,-35.04278025,-36.74496635
-36.531,-35.04359159,-36.7458171
-36.532,-35.04440286,-36.7466678
-36.533,-35.04521417,-36.74751853
-36.534,-35.04602542,-36.74836921
-36.535,-35.04683672,-36.74921991
-36.536,-35.04764795,-36.75007057
-36.537,-35.04845922,-36.75092126
-36.538,-35.04927043,-36.7517719
-36.539,-35.05008169,-36.75262256
-36.54,-35.05089288,-36.75347318
-36.541,-35.05170411,-36.75432382
-36.542,-35.05251528,-36.75517442
-36.543,-35.05332649,-36.75602504
-36.544,-35.05413764,-36.75687562
-36.545,-35.05494884,-36.75772622
-36.546,-35.05575997,-36.75857677
-36.547,-35.05657114,-36.75942735
